,Valoración
13291,4.2
5365,4.2
11271,4.0
1991,4.3
19371,3.7
3946,3.5
1575,4.0
1583,4.0
1520,4.1
13452,3.2
1617,3.8
6028,4.0
491,3.8
3929,3.4
14255,4.5
8394,4.3
4446,4.1
1330,3.8
5417,4.2
8726,4.0
6269,4.0
14086,3.7
10990,4.1
5058,3.7
3582,4.2
17408,3.9
13424,3.5
19137,4.0
2318,3.4
5895,4.0
16659,3.6
405,3.9
219,4.0
4123,3.7
8986,3.8
14172,4.5
15816,4.0
17920,4.0
2037,4.3
1022,4.1
7898,4.1
9000,3.9
16555,4.3
266,4.2
18092,4.1
15806,4.1
13249,4.0
3827,3.8
15594,4.1
6374,4.0
7922,3.7
13210,3.9
13331,4.1
2742,3.7
4665,3.6
7183,4.2
1263,3.9
8916,4.2
3584,4.1
7454,3.9
9483,3.7
6474,4.0
15836,4.0
4762,3.8
11056,4.1
1668,3.8
10225,4.2
16784,4.2
16848,4.0
12351,4.0
16940,4.2
7528,3.6
17714,4.0
13177,3.6
11763,3.9
3833,3.4
17441,4.1
10422,4.0
4708,3.8
13389,3.7
13074,4.2
5441,4.1
9872,4.0
6146,3.9
7803,4.3
10330,4.2
9094,4.1
7701,4.0
15422,4.2
758,3.9
7855,4.7
11935,4.1
15412,3.7
8286,4.1
3592,3.9
14569,4.1
16007,4.1
12234,4.1
6686,3.6
11223,4.0
5088,4.1
12726,3.6
5618,4.4
14254,4.4
895,3.5
19191,4.3
11983,4.0
6600,3.7
1225,3.7
8011,4.2
17809,4.3
3333,4.4
4754,3.9
3619,3.9
6741,3.7
6111,3.9
11686,4.1
15364,4.0
11916,3.7
13347,4.1
14400,4.2
4860,4.1
18282,4.0
19806,4.1
19546,4.1
2222,3.7
4679,3.9
8620,3.8
3796,3.6
2227,3.7
15621,4.2
945,3.8
1274,3.1
4464,3.7
15237,3.0
19296,4.1
14814,4.1
7474,3.7
19144,3.9
18109,4.1
11107,4.3
19928,3.9
10952,4.2
16426,3.3
8723,3.9
19254,4.0
16872,3.8
12472,3.9
2788,3.3
4901,4.4
1180,4.1
10111,3.9
15903,3.6
6699,3.8
17696,4.2
5423,4.1
3493,4.2
6601,3.8
1459,3.7
12864,3.4
13895,4.0
5359,4.2
14826,4.2
16752,4.0
6905,4.0
11325,4.0
13039,3.8
111,4.1
1586,4.1
1395,3.7
18106,4.0
6814,3.6
3889,3.7
19781,4.2
16644,3.8
13997,4.1
5621,4.2
16672,4.1
4851,3.8
6843,4.1
13250,3.9
15801,4.0
18882,4.0
19091,4.1
4849,3.6
3299,4.1
17656,3.8
19658,4.2
7931,3.8
8932,4.0
17420,4.4
14047,3.8
3032,4.6
13003,4.1
3903,3.2
6180,3.9
2094,4.0
10055,4.2
9779,4.4
4469,3.8
2182,3.3
16208,4.1
4459,3.7
14506,3.6
10037,4.2
9661,4.1
14444,3.7
1829,3.9
10909,4.0
16834,4.1
9150,4.3
12646,3.8
4785,3.6
9427,4.2
6067,3.7
11528,3.8
2245,2.8
1484,3.8
6089,4.0
4545,3.7
8355,3.9
11860,4.2
3647,4.3
4929,3.8
5505,4.2
12079,4.2
12778,4.2
11500,3.9
3831,3.6
12008,3.7
8551,3.9
6919,3.9
17498,3.9
15905,3.9
9363,3.9
4915,3.6
14749,3.6
12957,3.5
18614,4.0
13827,4.2
17683,4.0
468,3.9
27,4.0
6429,4.1
9103,3.9
4147,3.6
11558,4.0
805,3.8
17137,3.9
14324,3.4
7095,3.9
16620,3.5
7764,4.3
13611,4.3
1143,4.0
10316,4.1
2737,4.0
14282,3.4
19002,4.5
13228,3.6
11355,4.2
20013,4.2
6955,4.1
9043,3.9
8414,4.0
14264,3.5
16383,3.9
15567,3.9
12860,4.1
16641,3.7
3742,3.8
8643,3.5
83,3.9
13130,4.1
925,4.0
15544,3.8
12573,3.6
9741,3.8
10429,3.4
16320,3.7
19009,4.4
14336,3.6
9781,4.4
16829,4.2
2536,3.7
7429,3.8
16422,3.7
8774,4.0
7116,4.0
16279,4.0
16591,3.8
7590,3.9
2798,4.0
11840,4.1
18809,4.3
19764,4.0
6670,4.1
7278,4.0
2561,3.6
18247,4.3
5596,4.4
18008,4.2
2324,3.2
17119,4.2
17267,3.9
4863,3.8
15031,4.1
8360,4.3
13926,4.0
5442,4.1
6665,3.8
10502,4.1
5342,4.0
3730,3.7
9005,3.9
10819,4.3
9828,3.2
9594,4.1
19989,3.6
11067,4.6
8242,4.5
7030,3.5
16139,4.1
12989,3.8
10501,4.3
13243,3.8
4502,3.8
3980,3.4
8009,3.6
13272,4.1
2163,3.2
20027,3.7
2896,3.7
18519,3.8
16887,3.9
10405,3.7
10530,4.3
19246,4.2
6324,4.0
13969,3.9
12920,3.7
875,3.6
15279,4.2
15189,3.8
8469,4.1
9397,4.0
13912,4.2
15428,3.8
4369,3.7
3021,4.4
9098,4.3
15023,4.3
15590,4.3
14250,4.3
12232,4.3
1047,4.1
9359,3.9
17047,4.3
8511,3.9
11296,4.1
9296,3.6
4353,4.0
19845,4.1
18724,4.1
794,3.8
3745,3.3
9936,4.1
10712,2.7
2802,3.6
11128,3.7
12805,4.4
14019,4.1
16140,4.1
17460,3.9
2194,3.9
16193,3.8
8486,4.0
3042,4.3
16734,4.0
1043,3.3
11947,4.3
7246,3.7
1676,3.4
8958,4.3
8338,4.1
10011,4.2
4278,3.8
3835,3.6
1880,4.0
18999,4.5
11307,3.9
5025,3.9
13310,4.0
1775,4.0
16605,3.6
17124,4.5
17442,4.3
19587,3.5
18606,4.0
11401,4.0
5943,4.2
2692,3.4
14122,3.5
16266,4.0
8125,4.3
15453,3.5
8226,4.5
8866,4.1
16846,4.1
16709,3.8
199,3.8
4397,3.5
8350,3.9
554,3.7
7579,3.8
345,4.0
7135,4.0
17820,4.6
13812,4.4
4176,3.7
2236,3.5
7629,4.4
6152,3.9
5844,4.1
580,3.5
2154,3.6
10839,4.2
5340,4.3
14416,3.8
1791,4.1
3692,3.3
13409,3.8
831,3.6
12269,4.4
16909,3.9
12895,3.6
12369,4.1
9667,3.6
2453,3.6
9556,3.9
15865,4.0
7137,3.8
360,4.1
5007,3.8
12549,3.9
19488,4.1
289,4.1
19595,3.8
2375,3.6
16154,3.8
2055,4.0
18547,3.7
14863,4.1
5082,3.9
16066,3.6
11321,4.3
5726,3.2
17340,3.9
13344,4.1
11336,4.2
11508,3.8
16328,4.2
6390,4.3
16424,3.8
5387,4.0
16137,3.8
5576,4.4
4560,3.8
11893,3.9
7748,4.0
7537,4.2
18303,3.9
20072,3.7
17187,4.4
7366,3.8
16188,4.0
11099,4.2
5279,4.0
16355,3.9
13229,3.6
15514,4.1
5133,3.7
7514,3.5
3108,4.3
13697,4.4
863,3.7
3254,4.1
18533,4.2
7031,3.3
9624,4.2
1508,3.9
2872,3.5
4913,3.9
12897,3.5
15612,4.4
14426,3.9
6012,4.0
6760,3.8
4124,3.5
3438,4.3
15561,4.1
7552,3.9
15541,3.8
4216,3.6
9681,3.8
18045,4.1
5376,4.0
16596,4.0
5614,4.4
2734,3.7
10958,4.1
674,3.9
1711,3.6
10129,3.9
13654,4.4
19292,4.2
4789,4.1
16606,3.6
11365,4.3
2899,3.6
4035,3.7
13880,4.1
4990,3.8
19840,4.0
15018,3.9
4257,3.4
13937,4.0
5474,4.1
17844,4.0
15216,4.0
14679,3.7
1254,3.9
14564,3.9
17120,4.3
11748,4.0
17415,4.2
2122,3.3
2673,3.4
17894,4.5
8827,4.2
17961,3.7
6119,3.6
3953,3.8
1516,3.9
16554,4.4
3611,4.4
791,3.2
18048,4.0
1865,4.2
6065,3.8
337,4.2
14205,4.3
9565,4.1
2344,3.8
4004,3.6
18391,3.9
13212,3.7
20094,4.1
16969,4.5
5707,3.6
14606,3.7
8292,4.4
10657,3.9
11522,4.0
18283,4.1
17405,4.3
15959,3.7
7572,4.1
18141,4.0
1841,3.5
33,4.0
1076,4.1
311,4.4
18960,4.2
10841,4.3
9335,4.1
14067,3.6
5400,3.9
9246,3.8
10157,3.9
8710,4.3
15596,3.9
15154,4.2
239,4.0
5158,3.8
13530,4.0
472,4.2
8332,4.2
17221,4.4
5887,4.3
8731,3.9
5271,4.0
1745,4.1
13891,4.1
15707,4.2
4256,3.7
5281,4.1
12830,3.9
13089,4.4
14540,3.8
1024,4.0
4718,3.8
10836,4.3
16071,4.0
2906,3.7
12102,4.1
10888,4.1
10954,3.8
1703,3.9
7518,3.3
6349,4.1
3743,3.6
7933,3.9
8675,3.9
18984,4.3
11727,4.4
19081,3.8
4203,3.7
14578,3.6
16845,4.2
19343,4.1
7008,3.6
14363,4.2
8529,4.0
8942,3.7
15165,3.8
18332,3.9
13043,4.0
8367,3.9
8797,4.1
18253,4.4
13275,4.3
2357,3.3
4664,3.8
8060,4.0
10034,4.1
12970,3.7
4127,3.5
7683,3.6
10128,3.9
18428,4.0
5708,4.0
11700,4.1
19834,4.0
9619,4.1
17366,4.1
2124,3.5
14544,3.8
5660,3.8
19244,4.2
3976,3.0
732,3.5
8381,3.9
5196,3.7
13523,4.4
3763,3.7
79,4.1
4561,3.4
2331,3.5
4506,3.7
12660,4.0
333,4.1
15759,4.5
5180,3.8
7498,3.8
9923,4.1
19547,3.8
8376,4.0
10425,3.6
11884,4.0
2188,3.6
8919,4.2
11302,4.3
10164,4.1
6178,3.7
12069,4.0
15300,4.0
9388,3.8
4289,3.5
11209,3.7
20122,3.5
11559,3.9
12320,3.7
5401,4.0
214,3.9
13094,4.2
16044,3.8
4801,3.6
18319,3.8
16335,4.2
19604,3.7
3154,4.3
8981,3.6
18520,4.0
5049,3.9
106,4.0
9856,4.0
12205,4.3
3404,4.2
5640,3.3
11743,4.2
8417,3.9
7923,3.7
14811,4.2
6526,4.1
16813,4.1
6388,3.9
12099,4.1
5096,3.9
12006,3.6
12120,4.3
1528,3.7
20146,3.8
18176,4.3
965,3.8
8888,4.3
1662,3.5
455,4.1
7071,3.9
15870,3.5
18326,3.9
10663,3.6
7021,3.8
15282,4.0
11352,4.0
17549,4.0
13575,4.6
6832,4.1
15506,3.4
11040,4.2
11931,4.0
17983,4.1
17282,3.6
16136,4.3
10820,4.2
20108,3.4
19495,4.1
15182,3.9
16593,3.8
3646,4.3
10028,4.1
13475,3.8
13665,4.1
173,3.5
11052,3.7
335,4.0
5151,3.8
8658,3.5
17384,4.0
12740,3.5
1526,3.6
399,4.3
17476,3.9
5389,4.2
749,3.8
611,3.8
13846,4.3
11964,3.6
15704,3.7
13207,3.5
6893,3.9
17188,4.1
5175,4.0
15112,4.0
8301,4.0
3087,4.2
19435,3.7
10865,3.8
19759,4.0
3187,4.2
12610,4.1
2030,3.7
13166,3.5
245,4.1
15507,4.1
12964,4.1
19720,3.7
18600,4.3
13803,4.1
19236,4.1
15817,3.7
8059,3.6
17965,4.0
15294,3.9
3736,4.0
17421,4.1
15072,4.5
15995,4.3
11161,4.5
10202,4.0
18785,4.4
1562,4.0
19991,3.9
7807,4.3
18359,3.6
5624,4.3
17964,3.9
9168,3.6
6904,3.9
2755,3.5
3212,4.4
2694,4.1
17982,4.1
11103,4.3
17730,4.0
6933,3.8
11826,3.8
4721,4.1
14757,3.9
15764,4.0
11682,4.4
10770,4.2
5966,4.1
12889,3.6
18199,4.3
62,3.7
9718,3.9
10455,3.6
4096,3.6
6460,3.9
2213,3.1
7354,4.0
15302,4.0
3336,4.1
18193,4.6
11538,3.6
2348,3.7
19216,4.1
12251,4.1
19816,3.9
19187,4.3
15522,4.0
5146,4.1
8956,4.0
16192,4.2
19070,4.1
14265,3.7
9021,3.8
19818,3.9
6920,4.1
11679,4.1
17804,4.3
10496,4.2
14913,4.1
11371,4.2
8830,3.8
2683,3.7
11276,4.2
8933,3.9
13315,3.9
7982,4.0
4422,3.8
12760,3.5
2679,3.3
16983,4.5
19982,4.1
9665,3.7
15706,3.8
1521,4.2
9791,4.3
7919,3.5
5030,3.8
20098,3.3
16534,4.0
10073,4.0
2527,3.6
14362,4.1
3591,4.2
9533,4.0
9210,4.1
3905,3.1
18390,3.7
15833,4.1
1675,4.0
11987,3.8
16175,4.2
16731,4.0
8514,4.1
2056,4.1
15950,4.0
19163,4.0
2304,3.6
9453,4.3
4553,3.9
16600,4.1
14512,3.8
12600,3.7
16648,3.6
9998,3.9
19600,3.4
9937,4.2
5347,3.9
13440,3.5
18629,3.9
5362,3.9
5285,4.4
15056,3.9
1896,3.9
19039,4.4
18598,4.1
4429,3.7
11331,4.2
15419,4.0
14092,3.9
3774,3.7
11885,4.1
3316,4.3
216,4.2
10295,4.0
5292,4.3
10163,4.3
9251,4.0
16411,3.8
14161,4.1
19334,3.4
4221,3.7
19804,4.0
18134,4.0
4424,3.8
8589,3.5
18020,3.9
16270,4.1
1615,4.0
14148,3.8
8604,3.8
3973,3.8
7682,3.9
5568,4.3
7262,3.9
1598,4.0
18905,4.3
18123,4.0
1803,3.9
18179,4.5
10377,3.6
12784,4.1
10102,4.1
16832,4.2
19367,3.7
8987,3.8
17668,3.7
1732,4.3
12921,3.6
772,3.8
18857,4.2
17909,4.4
8654,3.7
2332,3.2
18423,4.0
7478,3.9
6444,3.7
394,3.9
10506,3.9
3427,4.4
14565,4.1
2595,3.6
16761,4.0
4948,4.0
5125,3.9
11854,4.0
9559,4.2
17368,4.1
17115,4.1
13294,3.8
19182,4.2
17199,4.4
9007,3.5
5718,3.7
17823,4.3
2029,4.1
19372,3.6
20008,4.1
2057,3.9
7269,3.8
6988,3.7
18792,3.9
13944,3.7
4237,3.7
8305,4.2
15891,3.7
4723,3.8
19872,3.7
13659,3.8
8633,3.8
14482,3.9
871,4.0
2816,3.2
14813,4.0
17493,3.9
10240,4.3
19258,4.4
4098,3.5
13780,4.2
12888,3.7
7696,3.7
7160,4.0
9573,4.3
19905,3.6
8872,4.4
14414,3.9
2288,3.7
1943,4.2
5722,3.3
1408,4.2
9321,4.0
18279,3.9
10431,3.6
3025,4.5
4057,3.7
18912,3.9
10538,4.0
891,3.9
275,3.8
19588,3.8
3576,4.4
10907,4.1
15978,4.1
5517,4.3
5911,4.2
3678,3.9
5682,3.9
14117,3.8
10883,3.7
20019,3.9
10035,4.2
10796,4.3
1399,4.1
20,3.9
15789,3.6
14787,4.0
14573,4.1
9261,3.7
10916,4.0
14645,3.8
15880,3.4
1851,4.0
4139,3.7
2473,3.6
13057,4.0
4592,3.9
8296,3.8
13189,3.6
1922,4.0
20033,4.4
18029,4.1
10348,4.2
17042,4.1
12457,3.8
1474,3.8
2342,3.6
19999,4.0
7093,4.0
11645,4.2
15124,4.0
6261,4.1
10908,3.9
7158,4.1
16202,4.2
15404,3.9
17400,4.2
6935,4.2
10787,4.6
7306,4.1
13214,3.6
12050,3.8
7181,3.9
4130,3.4
10248,4.6
18559,3.7
3220,4.1
1217,3.8
15981,4.0
10386,3.5
6828,3.9
19621,3.4
6346,4.2
17479,4.0
14079,3.9
2391,3.4
15068,4.3
1954,4.1
6322,4.0
16263,3.6
14601,4.3
5546,4.2
1740,3.9
6054,3.9
19586,3.6
10928,4.2
8590,4.0
457,4.1
19281,4.3
12215,4.0
5963,4.3
12592,3.9
11340,3.9
1345,3.9
63,3.9
17937,4.4
11903,3.9
9863,4.4
19037,4.3
12777,4.0
3029,4.5
8409,3.9
7054,3.9
18378,3.9
9711,4.2
14492,3.9
18521,4.4
17106,4.3
19431,4.0
7815,4.2
7837,3.9
1454,4.0
10511,4.2
18344,4.1
3451,4.3
14501,3.5
13306,3.8
9864,4.2
1817,3.4
18806,4.2
7999,4.1
61,3.7
13571,4.4
16243,4.1
5313,4.2
3098,4.1
7732,3.6
7294,4.0
14378,3.9
10118,4.2
8765,4.0
5164,3.7
8098,4.4
14938,3.7
9193,4.1
6823,4.1
633,4.1
6708,3.6
1923,3.9
14990,4.6
18430,3.9
8172,3.9
14361,3.5
3132,4.4
17279,3.6
12134,4.1
13600,4.5
19151,4.2
16489,4.3
7902,3.6
13486,4.3
3147,4.3
17557,3.7
4714,3.7
11359,4.6
5001,4.0
10595,4.0
6805,3.8
10719,3.5
15943,3.7
3437,4.2
14615,4.1
19237,4.1
4965,3.8
18978,4.5
11669,4.3
8089,4.0
12260,3.9
18212,3.8
4169,3.6
12039,3.7
407,3.8
15962,3.7
8036,3.9
14164,4.3
4122,3.8
1623,3.9
1595,3.7
14530,3.8
16361,3.3
6357,4.1
170,4.1
4904,3.5
2882,3.5
3205,4.4
9543,4.0
17792,4.3
13020,4.1
10027,4.3
11968,3.5
14286,3.4
5406,4.3
7609,4.0
13321,4.1
15560,4.0
1385,4.0
13417,3.5
1295,3.8
683,3.6
9585,4.4
17497,3.8
10573,4.3
16201,4.1
17193,4.1
13702,3.9
13485,3.6
15583,4.2
679,3.6
18021,4.1
1497,4.2
8240,4.4
800,4.0
15100,4.1
747,4.1
16996,4.1
4029,3.6
5982,3.8
9836,3.0
15191,4.0
2206,3.2
3056,4.2
17633,4.1
590,3.7
11032,4.1
8080,4.2
3689,2.8
16277,3.8
1491,3.9
7563,4.0
13076,4.2
8471,4.0
516,3.6
17813,4.1
1405,4.1
7090,3.6
5266,4.3
9842,3.4
962,3.9
16119,3.9
11664,3.9
11853,4.0
19710,4.1
12775,4.3
14369,3.9
9051,4.0
12637,3.9
3286,4.2
13422,3.7
11477,4.2
5842,4.1
13500,3.6
5804,3.9
19743,4.3
6519,3.7
1503,3.9
1187,4.0
17170,4.1
4316,3.6
12247,4.1
13535,4.0
12135,4.1
16108,3.9
12210,4.3
4685,3.7
9526,4.0
4682,3.5
10925,3.7
3360,4.3
2991,4.5
19777,3.8
7203,3.9
4764,3.8
17038,4.2
18233,4.3
3325,4.1
12464,3.9
9439,4.3
19744,4.2
9562,3.9
824,3.8
14686,3.9
19939,3.4
16445,4.0
11656,4.0
11425,4.4
1612,3.9
4955,3.9
9085,3.7
14612,4.1
6134,3.9
6235,3.6
12571,4.0
9446,4.1
8031,4.2
1451,3.7
15957,3.5
1513,4.0
2675,3.0
8050,4.1
8693,3.8
6609,3.5
14614,4.1
8067,4.2
19193,4.4
18340,3.8
17007,4.1
12591,4.1
17908,4.1
1744,3.9
19602,3.6
4862,3.7
7783,4.4
11185,3.8
1822,3.7
811,4.2
868,3.7
12797,4.2
13403,3.6
14132,3.9
19639,3.8
13397,3.8
7022,3.8
14422,4.2
3280,4.4
19557,4.0
11786,4.2
11374,4.5
13338,4.0
18120,3.9
13898,3.7
11137,4.5
8504,4.1
19772,4.1
5415,4.3
15289,4.2
17744,3.8
19532,4.0
18887,3.4
7554,3.9
3524,4.3
7581,3.7
13390,3.4
11216,4.0
6150,3.6
5421,4.1
6725,3.8
16241,4.0
5079,3.7
18210,4.5
2558,3.5
4963,3.8
16177,4.1
1844,4.0
15177,3.8
17395,3.9
17139,3.6
9881,3.9
16291,4.1
19662,4.1
10575,4.2
4533,3.8
10372,3.5
20039,3.7
4044,3.7
12060,4.1
16131,3.9
18427,3.8
7320,3.9
16855,4.2
5295,4.2
4473,3.5
3372,4.2
9614,4.2
6409,4.5
14570,3.9
3634,4.5
7697,3.7
15646,4.2
1743,4.0
18874,4.4
5350,4.2
7853,4.2
9593,4.1
2016,4.1
3517,4.2
14650,4.1
18712,4.1
13281,4.2
16945,4.0
14928,3.9
11213,4.2
15110,4.3
4604,3.6
3396,4.1
6148,3.9
14895,4.0
29,4.0
520,3.6
6129,3.9
17976,3.7
16498,4.3
9280,3.8
131,4.1
20054,4.1
4643,3.7
5525,4.3
3817,3.3
15939,3.9
10158,4.0
17829,3.6
16869,3.9
4826,3.7
12249,4.0
6175,3.7
5529,4.0
11250,4.0
13311,3.7
15863,3.6
1979,3.9
19280,4.3
13778,4.2
16979,4.7
8145,4.3
9786,4.4
13104,4.7
8736,4.1
13006,3.9
16721,4.2
19661,4.1
3597,4.4
16111,3.6
15106,4.0
2201,3.4
8095,4.2
1579,3.9
4398,3.8
10329,4.2
15296,4.1
2326,3.4
16711,3.9
16805,4.3
8375,3.9
12755,3.7
12842,4.1
11236,4.0
9179,3.6
14726,3.6
8840,4.0
763,3.6
7754,3.8
5925,4.1
12137,4.1
7713,3.7
9470,4.1
6865,3.6
5066,3.7
6841,4.1
12461,3.4
18575,3.6
20149,2.8
2769,3.4
388,4.0
1953,4.3
16362,3.4
12365,3.7
12558,4.3
15993,4.1
8391,4.1
315,4.0
2004,4.1
13431,3.8
413,4.0
7535,3.8
7473,3.6
13954,4.3
18625,3.7
6626,3.6
6087,3.8
3383,4.2
7301,4.0
15672,3.9
13036,4.1
605,3.7
15,4.2
10088,3.7
7883,4.1
6413,4.2
11445,4.2
8744,4.2
17727,4.4
5767,4.2
3049,4.2
3952,3.5
20006,4.2
309,3.9
5465,4.0
1483,3.7
1253,3.8
8966,3.9
10716,4.3
5988,3.6
6037,3.7
1149,3.8
8257,4.4
2517,3.7
13644,4.5
9587,4.3
15174,4.0
2128,3.5
702,3.8
1947,4.0
4866,3.5
3674,3.3
3842,3.6
6570,3.8
7817,4.4
12387,4.0
16817,4.2
1111,4.1
10651,4.1
1904,4.1
12228,3.9
637,3.7
248,4.0
2406,3.7
7859,4.2
17308,3.5
6747,3.9
696,3.8
19040,4.3
1886,4.2
17752,4.1
10440,3.5
2228,3.6
13197,3.7
19476,3.7
13960,3.9
10303,4.0
5613,4.3
11605,3.8
5456,4.1
7156,4.0
70,4.2
10732,3.4
14636,3.8
5769,3.6
1178,4.0
18512,3.9
12560,3.7
17928,4.2
1891,4.1
4844,4.0
10438,3.3
2010,4.1
15879,3.6
14935,3.9
13741,4.1
6426,3.9
17474,4.0
13425,3.5
12848,4.1
5965,3.9
6248,3.7
15313,4.1
2089,3.5
19032,4.2
3759,3.2
4191,3.8
9911,3.8
6048,4.0
20114,4.1
2957,4.4
19079,3.9
12170,4.2
433,4.0
3538,4.4
1083,3.9
6908,4.1
17934,4.0
16952,4.3
2853,3.7
4120,3.4
15143,4.4
7079,4.1
18627,4.0
16265,4.1
944,3.9
8404,4.0
12520,3.4
17698,4.2
8539,3.9
16008,3.7
10445,3.5
13427,3.6
19741,4.4
1588,4.1
15200,3.6
9640,3.7
3328,4.4
3638,3.9
14508,3.7
15490,4.1
16933,4.2
367,4.0
9415,4.0
13587,4.4
8757,4.1
13191,3.4
8248,4.3
1152,3.6
11899,4.1
4707,3.8
8198,3.9
9139,4.2
11343,4.1
4313,3.7
6275,4.0
18552,3.5
9641,4.2
10022,4.2
17306,3.8
2012,3.3
2615,3.6
6788,4.2
2474,3.4
6766,3.9
15932,3.8
2945,4.2
16304,3.8
17638,3.9
10185,3.9
14316,3.7
16349,3.8
5861,4.3
184,3.8
3711,3.8
15074,4.3
14393,3.9
14798,4.3
7749,4.2
12267,4.5
15113,4.7
3694,3.7
10250,4.7
19912,3.5
5542,4.1
10679,3.6
15102,4.4
18164,4.6
15828,3.9
14197,4.4
15476,4.1
592,3.8
12540,3.8
11505,3.9
6019,3.9
3665,4.2
1028,3.7
10570,3.8
3925,3.4
3162,4.1
5778,3.8
819,3.7
538,3.9
9653,4.2
5563,4.2
11513,4.2
1360,3.9
5951,4.0
7977,4.0
9431,3.7
14708,3.6
11468,3.9
13362,4.2
4905,3.8
18267,3.7
6657,3.4
6539,4.1
5728,3.7
15721,3.7
13487,4.2
9860,3.5
9129,4.2
16636,3.8
2310,3.6
528,4.1
13975,4.0
3467,4.1
2369,3.4
11728,4.2
3455,4.4
12588,3.7
15607,4.0
15783,4.2
17518,3.6
2631,3.6
10878,3.9
12877,3.6
10335,3.6
7327,3.8
10081,4.3
12930,3.5
17975,4.0
4579,3.5
15245,3.6
303,3.9
4162,3.6
1765,3.9
11171,4.1
7677,4.1
7956,4.0
4536,3.9
18847,4.1
9227,4.2
12350,4.0
17711,4.1
18947,3.9
465,3.9
15860,3.9
1197,3.9
7921,4.0
12575,4.2
4209,3.7
9712,3.6
13208,3.8
7722,3.7
17897,4.3
6188,3.7
5123,3.8
18218,4.3
8197,3.8
15052,4.5
16849,4.0
19398,3.6
7216,3.7
11076,4.4
11300,4.2
13085,4.2
6694,3.9
2531,3.3
19411,3.5
18443,3.9
4003,3.5
10889,3.9
2320,4.2
9926,4.0
10290,4.4
2019,3.3
9144,4.3
15040,4.2
567,3.6
19571,3.7
12754,3.7
13949,4.3
4111,3.5
16148,3.7
4486,3.5
19855,4.1
8648,3.8
1945,4.1
5169,3.6
14646,4.2
17736,4.2
7488,3.9
10283,4.0
16955,3.6
19973,4.0
2570,3.4
14611,3.8
8632,3.5
10497,4.5
17099,3.8
18831,4.3
15517,4.1
6922,3.9
14658,3.7
5050,3.9
19403,4.0
9877,3.7
19651,3.8
8772,4.1
12770,4.1
4455,3.7
18644,3.9
7763,3.8
7718,3.5
3283,4.4
13125,3.9
1138,3.8
12246,4.1
10961,4.1
18068,3.8
8627,3.9
13019,4.2
15042,4.3
7804,4.6
16800,4.2
12494,4.1
7515,4.1
12987,3.8
15591,4.3
2596,3.5
20058,4.0
12405,4.1
13725,4.2
158,4.2
13925,3.6
7662,4.1
2452,3.3
8671,4.0
1237,4.4
8937,3.8
19714,4.2
8978,3.7
2060,3.7
881,3.9
5872,4.1
3307,4.1
17299,3.7
18257,3.9
7548,3.8
4959,3.7
7051,3.9
15545,4.2
133,4.0
12296,3.9
6763,3.7
15784,4.2
19156,3.6
4802,3.8
7949,3.3
18449,3.9
6300,4.1
11753,4.1
12605,3.7
18768,4.3
6506,4.0
408,3.7
10211,4.2
8249,4.4
8232,4.4
16234,4.2
7750,3.7
2058,3.9
16346,4.1
13155,3.7
9381,4.1
5098,3.8
16795,4.3
7076,3.9
8603,3.8
2764,3.4
14623,4.0
6340,4.0
6499,4.0
15136,4.6
5822,4.0
16097,3.8
4716,4.1
5045,3.8
2215,3.4
9416,4.4
6995,3.7
17559,3.9
12441,4.1
3045,4.6
15929,3.9
1482,3.5
10224,4.4
5042,3.6
15269,3.9
2943,4.6
18744,4.0
9030,3.6
6633,3.7
7959,4.1
5445,4.1
16671,4.0
12059,3.9
19405,3.8
17610,3.2
12827,3.8
15463,4.1
11387,4.2
369,4.0
3693,3.8
2548,3.1
13884,4.0
642,3.8
15378,4.1
9900,4.0
3469,4.2
15292,4.0
11751,3.7
15190,4.0
16635,4.0
9023,3.9
4064,3.4
4781,3.5
1858,3.8
10900,4.0
6580,3.6
9225,4.0
18808,4.4
4343,3.7
18807,4.3
8918,4.3
19773,4.0
11332,4.1
3355,4.2
521,3.8
7860,4.3
4030,3.4
19570,3.9
17583,3.7
19592,3.7
10597,4.0
7257,3.8
11000,4.4
12347,3.8
9393,4.1
5701,3.6
14248,4.5
9689,3.6
16427,3.4
5438,4.1
4744,3.8
1057,3.6
19134,4.1
208,3.9
11122,4.5
14493,3.9
872,3.5
14618,4.1
19136,3.8
16307,4.2
12796,4.0
4015,4.0
10789,4.3
4231,3.9
12490,3.7
306,4.0
8583,3.7
17837,4.2
3492,4.2
11886,4.0
5139,3.8
11210,4.0
17018,4.2
11878,4.2
5181,3.6
8837,4.1
11659,4.2
1924,3.9
8690,4.1
9003,3.9
17204,4.4
8652,3.9
15246,3.8
6209,3.6
1351,3.6
15173,3.8
12883,3.5
9746,3.8
5161,3.8
8704,4.0
866,3.9
14962,4.7
3344,4.4
11061,4.5
4301,3.6
9882,4.1
3533,4.2
2449,3.3
7622,3.9
8293,4.4
1185,4.0
4900,3.9
17093,4.2
5937,4.0
2264,3.4
260,3.9
17602,4.0
8422,3.8
18894,4.0
3914,3.4
12043,4.0
1091,3.8
13673,3.9
6932,3.7
4649,3.8
2209,3.4
14880,4.1
16604,3.8
9991,3.2
7143,3.8
833,3.8
11689,4.0
19186,4.0
16055,3.9
18601,3.8
14812,4.1
8388,4.3
898,3.5
11166,3.9
5272,4.3
532,3.5
2417,3.5
14488,4.0
4676,4.0
2921,3.8
